WDPAID,NAME,scientific_name,source
319939,Biosphärenreservat Schorfheide - Chorin,Mustela_erminea,http://www.ice.ucdavis.edu/bioinventory/bioinventory.html
319939,Biosphärenreservat Schorfheide - Chorin,Mustela_nivalis,http://www.ice.ucdavis.edu/bioinventory/bioinventory.html
319939,Biosphärenreservat Schorfheide - Chorin,Mustela_putorius,http://www.ice.ucdavis.edu/bioinventory/bioinventory.html
319939,Biosphärenreservat Schorfheide - Chorin,Myodes_glareolus,http://www.ice.ucdavis.edu/bioinventory/bioinventory.html
319939,Biosphärenreservat Schorfheide - Chorin,Neomys_anomalus,http://www.ice.ucdavis.edu/bioinventory/bioinventory.html
319939,Biosphärenreservat Schorfheide - Chorin,Neomys_fodiens,http://www.ice.ucdavis.edu/bioinventory/bioinventory.html
319939,Biosphärenreservat Schorfheide - Chorin,Neovison_vison,http://www.ice.ucdavis.edu/bioinventory/bioinventory.html
319939,Biosphärenreservat Schorfheide - Chorin,Nyctereutes_procyonoides,http://www.ice.ucdavis.edu/bioinventory/bioinventory.html
319939,Biosphärenreservat Schorfheide - Chorin,Ondatra_zibethicus,http://www.ice.ucdavis.edu/bioinventory/bioinventory.html
319939,Biosphärenreservat Schorfheide - Chorin,Oryctolagus_cuniculus,http://www.ice.ucdavis.edu/bioinventory/bioinventory.html
319939,Biosphärenreservat Schorfheide - Chorin,Ovis_ammon,http://www.ice.ucdavis.edu/bioinventory/bioinventory.html
319939,Biosphärenreservat Schorfheide - Chorin,Procyon_lotor,http://www.ice.ucdavis.edu/bioinventory/bioinventory.html
319939,Biosphärenreservat Schorfheide - Chorin,Rattus_rattus,http://www.ice.ucdavis.edu/bioinventory/bioinventory.html
319939,Biosphärenreservat Schorfheide - Chorin,Sciurus_vulgaris,http://www.ice.ucdavis.edu/bioinventory/bioinventory.html
319939,Biosphärenreservat Schorfheide - Chorin,Sorex_araneus,http://www.ice.ucdavis.edu/bioinventory/bioinventory.html
319939,Biosphärenreservat Schorfheide - Chorin,Sus_scrofa,http://www.ice.ucdavis.edu/bioinventory/bioinventory.html
319939,Biosphärenreservat Schorfheide - Chorin,Talpa_europaea,http://www.ice.ucdavis.edu/bioinventory/bioinventory.html
319939,Biosphärenreservat Schorfheide - Chorin,Vulpes_vulpes,http://www.ice.ucdavis.edu/bioinventory/bioinventory.html
319939,Biosphärenreservat Schorfheide - Chorin,Arvicola_scherman,http://www.ice.ucdavis.edu/bioinventory/bioinventory.html
319939,Biosphärenreservat Schorfheide - Chorin,Canis_rufus,http://www.ice.ucdavis.edu/bioinventory/bioinventory.html
319939,Biosphärenreservat Schorfheide - Chorin,Dama_mesopotamica,http://www.ice.ucdavis.edu/bioinventory/bioinventory.html
319939,Biosphärenreservat Schorfheide - Chorin,Meles_leucurus,http://www.ice.ucdavis.edu/bioinventory/bioinventory.html
319939,Biosphärenreservat Schorfheide - Chorin,Mustela_russelliana,http://www.ice.ucdavis.edu/bioinventory/bioinventory.html
319939,Biosphärenreservat Schorfheide - Chorin,Mustela_tonkinensis,http://www.ice.ucdavis.edu/bioinventory/bioinventory.html
319939,Biosphärenreservat Schorfheide - Chorin,Mustela_subpalmata,http://www.ice.ucdavis.edu/bioinventory/bioinventory.html
319940,Biosphärenreservat Spreewald,Alces_alces,http://www.ice.ucdavis.edu/bioinventory/bioinventory.html
319940,Biosphärenreservat Spreewald,Apodemus_agrarius,http://www.ice.ucdavis.edu/bioinventory/bioinventory.html
319940,Biosphärenreservat Spreewald,Apodemus_flavicollis,http://www.ice.ucdavis.edu/bioinventory/bioinventory.html
319940,Biosphärenreservat Spreewald,Apodemus_sylvaticus,http://www.ice.ucdavis.edu/bioinventory/bioinventory.html
319940,Biosphärenreservat Spreewald,Arvicola_amphibius,http://www.ice.ucdavis.edu/bioinventory/bioinventory.html
319940,Biosphärenreservat Spreewald,Canis_lupus,http://www.ice.ucdavis.edu/bioinventory/bioinventory.html
319940,Biosphärenreservat Spreewald,Capreolus_capreolus,http://www.ice.ucdavis.edu/bioinventory/bioinventory.html
319940,Biosphärenreservat Spreewald,Cervus_elaphus,http://www.ice.ucdavis.edu/bioinventory/bioinventory.html
319940,Biosphärenreservat Spreewald,Crocidura_leucodon,http://www.ice.ucdavis.edu/bioinventory/bioinventory.html
319940,Biosphärenreservat Spreewald,Crocidura_suaveolens,http://www.ice.ucdavis.edu/bioinventory/bioinventory.html
319940,Biosphärenreservat Spreewald,Eliomys_quercinus,http://www.ice.ucdavis.edu/bioinventory/bioinventory.html
319940,Biosphärenreservat Spreewald,Erinaceus_europaeus,http://www.ice.ucdavis.edu/bioinventory/bioinventory.html
319940,Biosphärenreservat Spreewald,Lepus_europaeus,http://www.ice.ucdavis.edu/bioinventory/bioinventory.html
319940,Biosphärenreservat Spreewald,Lutra_lutra,http://www.ice.ucdavis.edu/bioinventory/bioinventory.html
319940,Biosphärenreservat Spreewald,Martes_foina,http://www.ice.ucdavis.edu/bioinventory/bioinventory.html
319940,Biosphärenreservat Spreewald,Martes_martes,http://www.ice.ucdavis.edu/bioinventory/bioinventory.html
319940,Biosphärenreservat Spreewald,Meles_meles,http://www.ice.ucdavis.edu/bioinventory/bioinventory.html
319940,Biosphärenreservat Spreewald,Micromys_minutus,http://www.ice.ucdavis.edu/bioinventory/bioinventory.html
